NumberOfEntries,EXT_Sum,EST_Sum,AGR_Sum,CSN_Sum,OPN_Sum,EXT_Var,EST_Var,AGR_Var,CSN_Var,OPN_Var,Country,EXT_Mean,EST_Mean,AGR_Mean,CSN_Mean,OPN_Mean,EXT_Std,EST_Std,AGR_Std,CSN_Std,OPN_Std
2,5,4,6,6,6,0,0,0,0,0,CD,2,2,3,3,3,0,0,0,0,0
2,5,5,5,6,6,0,0,0,0,0,DJ,2,2,2,3,3,0,0,0,0,0
1,3,2,3,3,3,0,0,0,0,0,BI,3,2,3,3,3,0,0,0,0,0
1,3,2,3,2,3,0,0,0,0,0,BJ,3,2,3,2,3,0,0,0,0,0
1,3,2,3,3,3,0,0,0,0,0,FK,3,2,3,3,3,0,0,0,0,0
1,3,2,3,3,2,0,0,0,0,0,MH,3,2,3,3,2,0,0,0,0,0
1,3,2,3,3,3,0,0,0,0,0,KM,3,2,3,3,3,0,0,0,0,0
1,2,2,2,3,3,0,0,0,0,0,GF,2,2,2,3,3,0,0,0,0,0
1,2,2,3,2,3,0,0,0,0,0,GQ,2,2,3,2,3,0,0,0,0,0
1,2,1,3,3,2,0,0,0,0,0,TD,2,1,3,3,2,0,0,0,0,0
1,2,2,3,2,3,0,0,0,0,0,MF,2,2,3,2,3,0,0,0,0,0
1,3,2,3,2,3,0,0,0,0,0,NE,3,2,3,2,3,0,0,0,0,0
1,3,2,3,2,3,0,0,0,0,0,GN,3,2,3,2,3,0,0,0,0,0
1,2,3,2,3,3,0,0,0,0,0,BQ,2,3,2,3,3,0,0,0,0,0
1,3,3,3,3,3,0,0,0,0,0,BF,3,3,3,3,3,0,0,0,0,0
1,3,3,3,3,3,0,0,0,0,0,AS,3,3,3,3,3,0,0,0,0,0
1,2,4,3,4,3,0,0,0,0,0,SH,2,4,3,4,3,0,0,0,0,0
